"Name","Team","Offensive.Snaps","Composite_Score","Player_Grade","Season","Position","Conference","Conference_Level","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","row_id"
"JACKSON BROUSSEAU","CAL",21,19.13,"F",2026,"QB","ACC","P4",65.5,12,12,10,"83.30%","83.30%",85,7.1,"50.60%",0,0,0,2.15,0,0,0,"0.00%",0,"0.00%",0,96.2,4.6,"83.30%","16.70%","49.40%",4,"8.30%",12,"8.30%","8.30%","16.70%","0","75.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"CUTTER BOLEY","ARIZONA ST",68,17.97,"F",2026,"QB","Big 12","P4",48.9,28,24,12,"50.00%","54.50%",110,4.6,"44.50%",1,0,2,2.93,1,3,0,"0.00%",1,"4.20%",0,76.7,11.4,"45.80%","45.80%","55.50%",5,"39.30%",0,"0","0","0","0","0",66.6,28,2.3,1,5,0,0,0,0.8,1.5,2,"41.70%",0,1,"0.00%",53
"JULIAN LEWIS","COLORADO",67,12.43,"F",2026,"QB","Big 12","P4",29.9,34,33,21,"63.60%","79.30%",199,6,"73.90%",1,2,1,2.7,0,2,5,"14.70%",0,"0.00%",2,65.1,5.6,"60.60%","27.30%","26.10%",10,"32.40%",0,"0","0","0","0","0",63.6,17,8.5,0,1,0,0,0,8.5,0,0,"50.00%",0,1,"0.00%",61
"KEYONE JENKINS","UCF",59,10.55,"F",2026,"QB","Big 12","P4",53.1,18,18,7,"38.90%","56.30%",86,4.8,"32.60%",1,1,0,2.58,1,0,1,"5.60%",0,"0.00%",2,49.8,13.8,"33.30%","55.60%","67.40%",5,"44.40%",14,"0","28.60%","35.70%","28.60%","35.70%",72.4,56,6.2,2,3,0,0,0,5,1.2,0,"33.30%",0,1,"0.00%",22
"BILLY EDWARDS JR.","N CAROLINA",70,10.22,"F",2026,"QB","ACC","P4",42.7,36,31,13,"41.90%","60.00%",135,4.3,"48.90%",1,1,2,3.04,0,1,1,"2.80%",0,"0.00%",2,52.5,8.9,"41.90%","38.70%","51.10%",8,"22.20%",0,"0","0","0","0","0",67.3,29,9.7,0,2,0,0,0,-0.7,1,3,"66.70%",0,2,"0.00%",3
"AJ HILL","ARKANSAS",22,10.17,"F",2026,"QB","SEC","P4",66.7,17,15,8,"53.30%","76.90%",76,5.1,"46.10%",0,0,1,2.64,2,2,0,"0.00%",0,"0.00%",2,67.6,6.6,"60.00%","26.70%","53.90%",3,"17.60%",13,"15.40%","15.40%","15.40%","15.40%","69.20%",57,2,2,0,0,0,0,0,2,0,1,"0.00%",0,0,"0.00%",63
"MASON HEINTSCHEL","PITTSBURGH",64,8.44,"F",2026,"QB","ACC","P4",47.9,32,26,10,"38.50%","46.20%",123,4.7,"68.30%",0,1,2,3.11,0,4,1,"3.10%",0,"0.00%",2,37.8,9.5,"53.80%","46.20%","31.70%",10,"31.30%",23,"8.70%","4.30%","43.50%","13.00%","52.20%",62.9,54,5.4,1,4,0,0,1,-0.6,4.2,4,"40.00%",0.1,2,"0.00%",66
"AUSTIN SIMMONS","MISSOURI",52,6.8,"F",2026,"QB","SEC","P4",45.3,24,23,11,"47.80%","54.50%",93,4,"53.80%",1,0,0,2.41,0,2,1,"4.20%",0,"0.00%",1,73.3,10.4,"39.10%","56.50%","54.80%",5,"33.30%",0,"0","0","0","0","0",54,2,0.7,0,0,0,0,0,0,0.7,1,"0.00%",0,0,"0.00%",39
"STEVE ANGELI","SYRACUSE",62,4,"F",2026,"QB","ACC","P4",40.7,32,26,13,"50.00%","62.50%",163,6.3,"55.80%",0,2,2,2.49,0,2,2,"6.30%",1,"3.90%",2,37.8,8.7,"50.00%","42.30%","44.20%",8,"31.30%",23,"13.00%","30.40%","26.10%","13.00%","43.50%",54.6,14,3.5,0,0,0,0,0,0.5,0.3,4,"0.00%",0,0,"0.00%",6
"ALESSIO MILIVOJEVIC","MICH STATE",40,0,"F",2026,"QB","Big Ten","P4",39,25,17,9,"52.90%","60.00%",123,7.2,"27.60%",0,2,4,3.34,1,3,4,"16.00%",1,"5.90%",0,36.8,13,"29.40%","58.80%","72.40%",7,"24.00%",15,"6.70%","26.70%","33.30%","13.30%","40.00%",53.4,15,3.8,0,1,0,0,0,2.3,1.5,4,"25.00%",0,0,"0.00%",45
