"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Nick Peipert","STTHOM",2026,"QB","Pioneer","FCS",NA,NA,32,31,17,"54.80%","56.70%",236,7.6,"47.90%",1,1,0,0,0,0,0,"0.00%",0,"0.00%",0,76.8,12.6,"19.40%","41.90%","53.00%",9,"0.00%",0,"0","0","0","0","0",NA,24,2.4,1,2,0,0,0,1.2,1.2,1,"20.00%",0,1,"0.00%",28.81,"D"
"Daylin Lee","TENN STATE",2026,"QB","Big South - OVC Football Association","FCS",NA,NA,27,24,16,"66.70%","66.70%",227,9.5,"6.20%",1,0,3,0,0,0,0,"0.00%",0,"0.00%",0,110.9,12.2,"12.50%","12.50%","12.30%",9,"0.00%",0,"0","0","0","0","0",NA,31,3.9,0,3,0,0,0,3.1,0.8,0,"37.50%",0,1,"0.00%",27.93,"D"
"Tyler Budge","RHODE ISLD",2026,"QB","CAA","FCS",58,54.4,37,29,18,"62.10%","70.40%",209,7.2,"51.20%",1,1,4,2.66,0,1,2,"5.40%",1,"3.50%",1,81,7.9,"48.30%","44.80%","48.80%",10,"18.90%",0,"0","0","0","0","0",59.5,45,6.4,0,3,0,0,1,2.7,1.9,4,"42.90%",0.14,2,"0.00%",27.85,"D"
"Rowan Keefe","VALPO",2026,"QB","Pioneer","FCS",49,72.2,36,32,23,"71.90%","76.70%",182,5.7,"49.50%",1,0,4,2.19,2,1,0,"0.00%",1,"3.10%",0,96.1,6.1,"59.40%","34.40%","50.50%",6,"16.70%",0,"0","0","0","0","0",60,-5,-5,0,0,1,0,0,-5,0,0,"0.00%",0,0,"0.00%",27.75,"D"
"Tre'Von Taylor","HAMPTON",2026,"QB","CAA","FCS",NA,NA,35,25,13,"52.00%","59.10%",193,7.7,"53.90%",2,2,6,0,1,0,0,"0.00%",0,"0.00%",0,70.9,11.7,"44.00%","44.00%","46.10%",9,"0.00%",0,"0","0","0","0","0",NA,33,4.1,0,1,0,0,0,0.9,2.4,4,"12.50%",0,1,"0.00%",27.59,"D"
"Ethan Greenwood","LIUSHAR",2026,"QB","Northeast","FCS",66,59.2,27,22,8,"36.40%","40.90%",113,5.1,"29.20%",0,2,0,3.17,0,2,0,"0.00%",0,"0.00%",1,15.9,10.6,"54.50%","45.50%","70.80%",5,"22.20%",0,"0","0","0","0","0",67.5,142,5.3,0,5,0,0,9,2.7,2.6,5,"18.50%",0.33,5,"18.20%",27.45,"D"
"Will Burns","SO UTAH",2026,"QB","Big Sky","FCS",NA,NA,39,37,25,"67.60%","71.40%",310,8.4,"21.00%",1,0,1,0,2,0,0,"0.00%",0,"0.00%",0,102.3,3.1,"27.00%","8.10%","5.80%",14,"0.00%",0,"0","0","0","0","0",NA,26,3.3,1,2,0,0,0,1,1.1,1,"25.00%",0,0,"0.00%",27.35,"D"
"Garrison Davis","ARKAPB",2026,"QB","SWAC","FCS",NA,NA,23,17,11,"64.70%","64.70%",127,7.5,"41.70%",1,0,1,0,0,0,0,"0.00%",0,"0.00%",0,106.7,11.9,"41.20%","58.80%","59.80%",9,"0.00%",0,"0","0","0","0","0",NA,29,3.6,0,2,0,0,0,0.8,1.9,5,"25.00%",0,1,"0.00%",27.21,"D"
"Mason Mims","E TENN ST",2026,"QB","Southern","FCS",35,59.4,31,26,16,"61.50%","66.70%",200,7.7,"52.00%",2,0,3,0,1,0,0,"0.00%",0,"0.00%",0,111.1,10.5,"53.80%","38.50%","51.00%",9,"0.00%",0,"0","0","0","0","0",49.4,12,2.4,0,2,0,0,0,4.2,-1.8,2,"40.00%",0,0,"0.00%",27.1,"D"
"AJ Duffy","NEWHVN",2026,"QB","Northeast","FCS",77,48.8,55,49,27,"55.10%","63.80%",217,4.4,"71.40%",1,1,3,2.5,0,6,4,"7.30%",1,"2.00%",3,64.8,8.5,"61.20%","34.70%","28.60%",13,"23.60%",0,"0","0","0","0","0",63.9,32,8,0,1,0,0,0,6.5,1.5,3,"25.00%",0,2,"0.00%",26.75,"D"
"Derek Morgan","LEHIGH",2026,"QB","Patriot","FCS",62,61.6,16,15,10,"66.70%","66.70%",73,4.9,"60.30%",1,0,0,2.07,0,1,0,"0.00%",0,"0.00%",0,100.1,7.2,"60.00%","40.00%","45.20%",6,"12.50%",0,"0","0","0","0","0",62.7,28,3.1,0,3,0,0,0,1.8,1.3,1,"33.30%",0,2,"0.00%",26.61,"D"
"Tevin Carter","PRVIEW A&M",2026,"QB","SWAC","FCS",59,63.5,29,22,8,"36.40%","42.10%",126,5.7,"23.80%",0,0,6,2.61,1,5,0,"0.00%",1,"4.50%",0,56.3,13,"40.90%","45.50%","76.20%",5,"24.10%",0,"0","0","0","0","0",54.9,25,2.1,0,1,1,1,3,-0.5,2.6,0,"8.30%",0.25,0,"0.00%",24.44,"D"
"Dustin Fletcher","FL A&M",2026,"QB","SWAC","FCS",NA,NA,14,11,6,"54.50%","54.50%",48,4.4,"100%",1,0,1,0,0,0,0,"0.00%",0,"0.00%",0,96,6.8,"63.60%","36.40%","0.00%",5,"0.00%",0,"0","0","0","0","0",NA,33,8.3,0,3,0,0,0,3.3,5,2,"75.00%",0,3,"0.00%",24.26,"D"
"Cole LaCrue","E ILLINOIS",2026,"QB","Big South - OVC Football Association","FCS",55,69,31,26,15,"57.70%","77.30%",150,5.8,"65.30%",0,0,0,2.88,2,1,0,"0.00%",0,"0.00%",2,74.2,6.4,"50.00%","34.60%","34.70%",10,"19.40%",0,"0","0","0","0","0",61.8,26,4.3,1,1,0,0,1,-0.7,3.2,5,"16.70%",0.17,1,"0.00%",23.89,"D"
"Bryce Schondelmyer","DAYTON",2026,"QB","Pioneer","FCS",NA,NA,35,34,20,"58.80%","60.60%",155,4.6,"63.20%",1,0,0,0,0,0,0,"0.00%",0,"0.00%",0,79.9,8.9,"50.00%","47.10%","37.40%",10,"0.00%",0,"0","0","0","0","0",NA,2,1,0,0,0,0,0,1.5,-0.5,1,"0.00%",0,0,"0.00%",23.82,"D"
"Carson Camp","DUQUESNE",2026,"QB","Northeast","FCS",48,58.2,25,21,9,"42.90%","47.60%",67,3.2,"62.70%",0,0,2,2.66,0,4,1,"4.00%",1,"4.80%",1,51.1,9.2,"61.90%","38.10%","37.30%",6,"40.00%",0,"0","0","0","0","0",66.6,16,5.3,1,2,0,0,0,3.3,2,2,"66.70%",0,1,"0.00%",23.58,"D"
"Deljay Bailey","NORFOLK",2026,"QB","MEAC","FCS",NA,NA,32,28,18,"64.30%","69.20%",199,7.1,"31.70%",0,0,1,0,0,0,0,"0.00%",0,"0.00%",0,85.3,10,"46.40%","46.40%","68.30%",10,"0.00%",0,"0","0","0","0","0",NA,56,4.7,1,4,0,0,0,1.9,2.8,3,"33.30%",0,2,"0.00%",23.55,"D"
"JP Pickles","MERCER",2026,"QB","Southern","FCS",42,58.4,13,12,7,"58.30%","66.70%",82,6.8,"45.10%",0,1,1,2.38,0,0,1,"7.70%",1,"8.30%",1,44.4,9.2,"58.30%","41.70%","54.90%",3,"0.00%",0,"0","0","0","0","0",68.7,78,6.5,0,4,0,0,3,2.7,3.8,0,"33.30%",0.25,4,"8.30%",23.19,"D"
"Ty'ray Davis","Argonauts",2026,"QB","United Athletic","FCS",50,56,22,14,8,"57.10%","71.40%",118,8.4,"49.10%",1,1,4,2.92,0,2,2,"9.10%",1,"7.10%",2,78.9,10.8,"71.40%","28.60%","55.10%",5,"40.90%",0,"0","0","0","0","0",47.1,36,2.4,1,4,2,1,3,0.8,1.1,4,"26.70%",0.2,2,"9.10%",23.08,"D"
"Ian Reynolds","VA MILT IN",2026,"QB","Southern","FCS",NA,NA,21,20,8,"40.00%","40.00%",135,6.8,"49.60%",1,2,1,0,0,0,0,"0.00%",0,"0.00%",0,40.6,14,"35.00%","65.00%","50.40%",6,"0.00%",0,"0","0","0","0","0",NA,6,0.9,1,2,0,0,0,0.3,0.6,0,"28.60%",0,1,"0.00%",22.92,"D"
"Braylen Ragland","SE MO ST",2026,"QB","Big South - OVC Football Association","FCS",65,70.3,33,31,20,"64.50%","76.90%",192,6.2,"62.00%",0,0,0,2.63,2,2,0,"0.00%",0,"0.00%",0,81.7,6.1,"58.10%","25.80%","38.00%",10,"21.20%",0,"0","0","0","0","0",51.2,0,0,0,0,0,0,0,-1,1,2,"0.00%",0,0,"0.00%",22.69,"D"
"Nate Bell","E WASHGTON",2026,"QB","Big Sky","FCS",75,50.4,34,30,16,"53.30%","56.70%",187,6.2,"45.50%",0,0,3,3.35,0,3,1,"2.90%",0,"0.00%",1,72.5,8.9,"43.30%","56.70%","54.50%",12,"32.40%",0,"0","0","0","0","0",61,70,4.7,1,3,0,0,2,3.8,0.7,1,"20.00%",0.13,3,"28.60%",22.57,"D"
"Brennan Myer","BRYANT",2026,"QB","CAA","FCS",63,65,25,21,15,"71.40%","71.40%",154,7.3,"35.70%",0,1,0,2.56,0,0,1,"4.00%",0,"0.00%",0,72.3,9.3,"61.90%","38.10%","64.30%",7,"44.00%",0,"0","0","0","0","0",61.5,10,0.9,1,1,1,0,2,-0.2,1.1,4,"9.10%",0.18,0,"0.00%",22.5,"D"
"Kenny Lueth","N COLORADO",2026,"QB","Big Sky","FCS",NA,NA,15,13,9,"69.20%","69.20%",93,7.2,"79.60%",1,1,1,0,0,0,0,"0.00%",0,"0.00%",0,83.2,7.5,"69.20%","30.80%","20.40%",3,"0.00%",0,"0","0","0","0","0",NA,15,5,0,0,0,0,0,1.7,3.3,1,"0.00%",0,0,"0.00%",22.31,"D"
"Emmett Brown","INCAR WORD",2026,"QB","Southland","FCS",95,61.9,55,51,32,"62.70%","80.80%",285,5.6,"56.10%",0,1,1,2.59,0,0,1,"1.80%",1,"2.00%",6,69.5,6.5,"64.70%","27.50%","43.90%",15,"14.50%",0,"0","0","0","0","0",55.8,35,5,2,2,0,0,1,2.3,2.4,3,"28.60%",0.14,2,"0.00%",21.62,"D"
"DJ Williams","S ILLINOIS",2026,"QB","Missouri Valley","FCS",61,46.8,43,40,20,"50.00%","56.80%",182,4.5,"61.00%",1,1,1,2.49,0,2,1,"2.30%",0,"0.00%",1,60.6,9.8,"57.50%","35.00%","39.00%",12,"30.20%",0,"0","0","0","0","0",63.8,23,3.8,0,3,0,0,0,0.5,1.7,1,"50.00%",0,1,"0.00%",21.31,"D"
"Champ Long","NC A&T",2026,"QB","CAA","FCS",27,60.1,24,21,13,"61.90%","66.70%",148,7,"68.90%",1,1,1,2.35,0,1,2,"8.30%",0,"0.00%",1,79.1,6.3,"61.90%","38.10%","35.80%",8,"4.20%",0,"0","0","0","0","0",53.8,17,8.5,0,0,0,0,0,0,0,2,"0.00%",0,1,"0.00%",20.91,"D"
"Jerry Kaminski","N DAKOTA",2026,"QB","Missouri Valley","FCS",52,53,28,19,9,"47.40%","62.50%",106,5.6,"53.80%",1,0,5,3.19,0,0,0,"0.00%",0,"0.00%",1,82.3,9.2,"42.10%","42.10%","46.20%",5,"28.60%",0,"0","0","0","0","0",59.2,50,5,0,2,0,0,0,1.4,3.4,4,"20.00%",0,1,"0.00%",20.26,"D"
"Cutter Stewart","HOUCHR",2026,"QB","Southland","FCS",54,43.5,25,23,10,"43.50%","54.50%",96,4.2,"58.30%",1,0,1,2.16,0,4,2,"8.00%",1,"4.30%",2,70.2,12.1,"43.50%","52.20%","50.00%",5,"52.00%",0,"0","0","0","0","0",54.6,12,2.4,0,0,0,0,0,1.4,1,1,"0.00%",0,0,"0.00%",19.8,"F"
"Kevin White","NC A&T",2026,"QB","CAA","FCS",37,56,29,22,14,"63.60%","63.60%",141,6.4,"44.00%",1,1,4,2.62,0,1,1,"3.50%",0,"0.00%",0,78,8.5,"45.50%","54.50%","56.00%",8,"6.90%",0,"0","0","0","0","0",49.9,12,4,0,0,0,0,0,1.3,1.3,3,"0.00%",0,0,"0.00%",19.62,"F"
"Ethan Drumm","WOFFORD",2026,"QB","Southern","FCS",41,46.9,26,17,9,"52.90%","58.80%",177,10.4,"44.60%",1,2,7,2.78,0,1,3,"11.50%",1,"5.90%",1,69.6,11.9,"41.20%","58.80%","55.40%",4,"34.60%",0,"0","0","0","0","0",54.1,14,3.5,0,0,0,0,1,2.3,1.3,2,"0.00%",0.25,1,"0.00%",19,"F"
"Jim Ogle","MURRAY ST",2026,"QB","Missouri Valley","FCS",31,60.1,21,21,13,"61.90%","66.70%",79,3.8,"83.50%",0,0,0,2.25,0,1,0,"0.00%",0,"0.00%",1,69.3,5.7,"71.40%","28.60%","16.50%",3,"33.30%",19,"10.50%","21.10%","26.30%","10.50%","52.60%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.06,"F"
"Jaxon Dailey","N IOWA",2026,"QB","Missouri Valley","FCS",49,51,32,30,11,"36.70%","48.10%",91,3,"40.70%",0,2,2,3.05,0,2,2,"6.30%",2,"6.70%",2,17.5,12.4,"43.30%","46.70%","59.30%",5,"25.00%",0,"0","0","0","0","0",65.9,12,4,0,1,0,0,0,2.3,1.7,0,"33.30%",0,0,"0.00%",16.89,"F"
"Charlie Smith","HARVARD",2026,"QB","Ivy","FCS",61,46.8,26,23,13,"56.50%","56.50%",113,4.9,"60.20%",1,1,2,2.56,0,2,1,"3.90%",0,"0.00%",0,66,10.7,"60.90%","39.10%","45.10%",5,"38.50%",0,"0","0","0","0","0",55.2,1,0.5,0,0,0,0,0,0,0.5,1,"0.00%",0,0,"0.00%",16.74,"F"
"Donovyn Omolo","CENT ARK",2026,"QB","United Athletic","FCS",66,42.3,33,28,12,"42.90%","52.20%",98,3.5,"39.80%",0,2,3,3.22,1,2,2,"6.10%",0,"0.00%",0,22.6,13.9,"39.30%","42.90%","60.20%",6,"42.40%",0,"0","0","0","0","0",69.9,99,9.9,0,5,0,0,3,3.4,6.5,2,"50.00%",0.3,5,"0.00%",16.68,"F"
"Jack O'Connell","STHLSK",2026,"QB","Northeast","FCS",47,42.8,26,24,10,"41.70%","50.00%",69,2.9,"50.70%",1,1,1,2.98,2,1,2,"7.70%",2,"8.30%",0,45.8,7.7,"41.70%","41.70%","55.10%",4,"30.80%",0,"0","0","0","0","0",50.2,8,2.7,0,0,0,0,0,0.7,2,1,"0.00%",0,0,"0.00%",16.34,"F"
"Gabe Downing","PORTLAND",2026,"QB","Big Sky","FCS",35,54.9,24,23,9,"39.10%","52.90%",120,5.2,"45.00%",0,3,1,2.54,2,1,0,"0.00%",1,"4.30%",0,16.8,10.1,"43.50%","30.40%","55.00%",5,"8.30%",15,"20.00%","13.30%","33.30%","53.30%","53.30%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.91,"F"
"James Murphy","BROWN",2026,"QB","Ivy","FCS",73,57.6,46,40,26,"65.00%","75.70%",343,8.6,"63.80%",0,2,4,2.83,0,1,3,"6.50%",0,"0.00%",2,71.1,8.1,"50.00%","42.50%","36.10%",17,"21.70%",0,"0","0","0","0","0",53.8,-3,-0.8,0,0,0,0,0,-2.5,1.8,2,"0.00%",0,0,"0.00%",15.87,"F"
"Garrett Bass-Sulpizio","CORNELL",2026,"QB","Ivy","FCS",58,38.4,43,42,22,"52.40%","61.50%",157,3.7,"26.80%",0,3,0,2.48,1,3,4,"9.30%",2,"4.80%",2,31.5,7.1,"52.40%","40.50%","73.30%",7,"16.30%",0,"0","0","0","0","0",69.3,49,8.2,0,3,0,0,1,6.3,1.8,1,"50.00%",0.17,2,"0.00%",15.68,"F"
"Landon Sharpe","PRESBYTERN",2026,"QB","Pioneer","FCS",60,44.9,33,28,19,"67.90%","75.00%",162,5.8,"77.20%",1,1,4,2.35,0,1,3,"9.10%",0,"0.00%",2,79.8,5.2,"67.90%","32.10%","22.80%",8,"27.30%",0,"0","0","0","0","0",65.3,46,3.8,0,2,0,0,1,2.1,1.8,1,"16.70%",0.08,0,"0.00%",15.14,"F"
"Joshua Brown","MS VLY ST",2026,"QB","SWAC","FCS",NA,NA,31,31,16,"51.60%","53.30%",105,3.4,"7.60%",0,0,0,0,0,0,0,"0.00%",0,"0.00%",0,59.2,-3,"3.20%","0.00%","-2.90%",6,"0.00%",0,"0","0","0","0","0",NA,22,2.8,0,1,0,0,0,2.8,0,0,"12.50%",0,0,"0.00%",12.7,"F"
"Bronson Barben","UTAHTC",2026,"QB","Big Sky","FCS",65,46,36,34,16,"47.10%","59.40%",143,4.2,"51.70%",1,1,2,2.31,1,1,1,"2.80%",0,"0.00%",3,56.4,8.2,"55.90%","38.20%","48.30%",7,"13.90%",0,"0","0","0","0","0",61,8,2.7,0,1,0,0,0,1.7,1,0,"33.30%",0,0,"0.00%",12.2,"F"
"Emmett Dowling","BUCKNELL",2026,"QB","Patriot","FCS",30,45.3,21,21,8,"38.10%","47.40%",78,3.7,"46.20%",0,1,0,2.55,0,2,1,"4.80%",0,"0.00%",1,29.5,13.8,"28.60%","61.90%","53.80%",3,"9.50%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.94,"F"
"Jack Jacobs","TXAMEA",2026,"QB","Southland","FCS",45,54.1,23,21,9,"42.90%","55.60%",78,3.7,"47.40%",0,0,1,2.08,2,1,1,"4.30%",0,"0.00%",1,53.3,4.3,"61.90%","23.80%","52.60%",3,"60.90%",0,"0","0","0","0","0",64.9,9,9,0,0,0,0,0,8,1,1,"0.00%",0,0,"0.00%",10.76,"F"
"Brooks Bentley","NEW HAMP",2026,"QB","CAA","FCS",77,41.5,51,39,19,"48.70%","63.90%",196,5,"27.00%",0,2,7,2.88,0,6,3,"5.90%",0,"0.00%",4,42.3,11.2,"53.80%","38.50%","73.00%",9,"23.50%",0,"0","0","0","0","0",59.3,8,1,1,3,0,0,0,-0.5,1.5,5,"37.50%",0,0,"0.00%",8.11,"F"
"Christopher Dietrich","BUCKNELL",2026,"QB","Patriot","FCS",22,49.7,12,11,4,"36.40%","40.00%",8,0.7,"150%",0,0,1,2.75,0,2,0,"0.00%",0,"0.00%",0,44.9,1.7,"81.80%","9.10%","-50.00%",1,"16.70%",0,"0","0","0","0","0",60,-2,-2,0,0,0,0,0,-2,0,0,"0.00%",0,0,"0.00%",6.35,"F"
"Donovan Leary","Argonauts",2026,"QB","United Athletic","FCS",15,47.9,12,12,4,"33.30%","36.40%",31,2.6,"32.30%",0,1,0,2.23,0,1,1,"8.30%",0,"0.00%",0,7.6,9.9,"41.70%","50.00%","67.70%",2,"0.00%",0,"0","0","0","0","0",58.4,2,2,0,0,0,0,0,2,0,0,"0.00%",0,0,"0.00%",5.84,"F"
"Ean Rodrigue","NICHOLLS",2026,"QB","Southland","FCS",47,34.7,24,22,8,"36.40%","44.40%",41,1.9,"105%",0,2,1,2.24,2,1,1,"4.20%",0,"0.00%",0,7,4.9,"54.50%","27.30%","-4.90%",3,"12.50%",16,"43.80%","6.30%","25.00%","43.80%","68.80%",60.6,7,3.5,0,0,0,0,0,-1,4.5,0,"0.00%",0,0,"0.00%",0.73,"F"
"Reese Mooney","TXAMEA",2026,"QB","Southland","FCS",27,31.6,21,20,11,"55.00%","70.00%",95,4.8,"66.30%",0,1,1,2.23,0,1,2,"9.50%",0,"0.00%",3,46.9,5.5,"60.00%","40.00%","33.70%",4,"38.10%",0,"0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"F"
