"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Coverage.Grade","Run.Defense.Grade","Pass.Rush.Grade","Total.Tackles","Assistant","Stops","Lined.up.in.Press.Coverage","Passer.Rating.Allowed","Pass.Break.Up","Average.Depth.of.Target.per.Coverage","Receiving.Yards.Allowed.per.Snap","Yards.per.Reception.Allowed","Average.Depth.of.Tackle","Interceptions","Pass.Stop","Missed.Tackles.on.Pass.Plays","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Run.Plays","Assist.on.Pass.Plays","Touchdowns.Allowed","Run.Tackle.for.Losss.or.No.Gain","Open.Targets","Pass.Tackle.for.Loss.or.No.Gain","Dropped.Int","Hurries","Hits","Fumble.Recovery","Forced.Fumble","Sacks","Pursuit.Pressure","Missed.Tackle.Percentage","Run.Stop","Tackle.for.Loss.or.No.Gain","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","First.Contact","Batted.Passes","Interception","Drops...Off.Targets.Receptions.Forced","Pass.Rush.Productivity","Unblocked.Pass.Rush","Beaten.Defender","Plays.of.15..Yards.Allowed"
"Navy Curry","N ALABAMA",17,72.81,"B",68.9,66.5,65.4,NA,1,0,0,NA,39.6,1,9.5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Nikkem Reynolds","NEWHVN",16,72.57,"B",68.9,75.7,61.4,NA,1,0,0,NA,39.6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","100%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Blair Schonhorst","BUTLER",38,72.33,"B",66.3,63.2,72.4,NA,2,0,1,NA,39.6,0,15,0.42,10,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,1,1,0,1,"25.00%",10,1,0,"0.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,2,NA,0,0,0
"Jeremiah Washington","RICHMOND",44,71.89,"B",66.2,67.5,57.7,NA,5,1,1,NA,39.6,1,9.3,0.33,8,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"16.70%",1,0,0,1,2,1,1,1,"25.00%",8,0,1,"0.00%","0.00%","0.00%","0.00%","25.00%","25.00%","0.00%",2,0,0,2,NA,0,0,0
"Chase Van Tol","S DAK ST",35,71.74,"B",62.9,55.2,73.7,58.4,3,0,2,NA,0,0,0,0,0,-2.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,0,1,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,0,0,0,0
"Zakiese Smith","INDIANA ST",20,71.67,"B",68.6,65.4,67.8,NA,1,0,1,NA,0,0,0,0,0,-3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"RJ Stewart","S DAKOTA",80,71.59,"B",69.3,67.1,72.5,60,9,5,0,NA,109.7,0,4.3,0.26,4.5,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,5,1,1,0,2,"66.70%",9,1,0,"0.00%","0.00%","33.30%","0.00%","0.00%","0.00%","0.00%",4,0,0,1,0,0,0,0
"Elisha Luckett III","GARD-WEBB",19,71.4,"B",68.8,65.4,69.1,NA,3,0,2,NA,79.9,0,25,3,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,1,1,2,1,"33.30%",36,1,2,"8.30%","0.00%","33.30%","0.00%","66.70%","0.00%","0.00%",3,0,0,0,NA,0,0,1
"Cole Walker","WOFFORD",41,71.32,"B",63.7,57.7,71.1,NA,4,2,1,NA,56.3,0,23.5,0,0,7.5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,2,1,1,0,1,"50.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Jaylen Boehm-Peterson","S DAKOTA",80,71.02,"B",65.8,68.3,57.2,60,7,4,1,NA,59,0,10.8,0.65,7.3,8,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,"12.50%",0,0,0,4,4,2,2,3,"50.00%",22,1,0,"0.00%","0.00%","16.70%","0.00%","0.00%","20.00%","0.00%",3,0,0,3,0,0,0,0
"Langston Blair","BUCKNELL",41,70.96,"B",68.3,66.2,69.4,58.7,5,0,2,NA,45.1,0,12,0.58,11,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,0,1,1,1,1,"33.30%",11,1,0,"0.00%","0.00%","33.30%","0.00%","0.00%","0.00%","0.00%",4,0,0,1,0,0,0,0
"Thio Georges","HOUCHR",98,70.86,"B",67.5,66.9,65.3,NA,4,0,2,NA,37.5,0,9,0.5,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,4,4,2,4,"66.70%",28,1,0,"0.00%","0.00%","16.70%","16.70%","0.00%","0.00%","0.00%",3,0,1,2,NA,0,0,0
"Nigel Gay","MERCER",46,70.67,"B",65.7,66.8,61.5,60,2,0,2,NA,0,0,0,0,0,2.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"33.30%",2,1,0,0,1,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","33.30%","0.00%",1,0,0,0,0,0,0,0
"Shane Keyes-Wilson","MAINE",25,70.66,"B",69,64.1,70.8,58.3,2,1,1,NA,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,0,0,0,0
"Dre Kirton","NEWHVN",66,70.57,"B",65.5,67.3,67,NA,8,0,3,NA,87.5,0,11.3,1.02,7.3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"0.00%",0,1,0,0,5,5,3,6,"75.00%",44,3,0,"2.30%","0.00%","37.50%","0.00%","0.00%","0.00%","0.00%",7,0,0,2,NA,0,0,1
"Xavier Maple","MERRIMACK",17,70.2,"B",71.1,70.9,60.8,NA,NA,0,0,NA,39.6,1,7.5,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,1,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%",NA,NA,0,0,0,1,NA,0,0,0
"Keith Moko","CENT CT ST",62,69.99,"B",71.6,69.6,71.7,NA,4,0,2,NA,93.8,0,2,0.41,6.5,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,0,1,1,1,2,"100%",13,1,0,"0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Colton Davis","BUCKNELL",37,69.87,"B",66.5,61.1,72.9,60,4,1,1,NA,62.5,0,10,0.75,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",1,1,0,1,1,1,0,1,"50.00%",9,1,0,"0.00%","0.00%","50.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,1,0,0,0,0
"Brian Lloyd","GEORGETOWN",65,69.77,"B",65.2,64.3,65.6,NA,8,1,0,NA,64.6,1,9.4,0.82,10,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,4,4,1,4,"50.00%",40,3,1,"0.00%","0.00%","37.50%","0.00%","12.50%","0.00%","0.00%",5,0,0,3,NA,0,0,0
"Takai Whitmore","BUCKNELL",26,69.6,"B",69,66.9,67.2,NA,4,0,0,NA,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Casey Etienne Jr.","PRINCETON",28,69.44,"B",69.2,67.4,67.9,NA,3,1,0,NA,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Lamont Johnson-Burrell","INCAR WORD",40,69.34,"B",62.7,61.9,63.2,NA,4,1,0,NA,57.6,2,19,1.82,20,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,1,4,4,3,2,"33.30%",40,2,2,"4.50%","0.00%","33.30%","0.00%","33.30%","0.00%","20.00%",3,0,0,1,NA,0,0,1
"Jalen O'Neal","PRVIEW A&M",54,69.19,"B",66.4,69.8,49.2,NA,NA,0,0,NA,0,0,24.3,0,0,0,1,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,2,1,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","33.30%","33.30%",NA,NA,0,0,1,2,NA,0,0,0
"Noah Gibson","Argonauts",22,69.16,"B",70.2,66.6,70.6,NA,3,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Key Crowell","ILL STATE",17,68.71,"B",70.3,64.3,74.5,NA,4,0,2,NA,108.3,0,10,1.25,10,4.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.00%",2,1,0,0,1,1,1,1,"100%",10,1,0,"0.00%","0.00%","100%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Takhari Carr","MONTANA ST",66,68.6,"B",73.1,73.3,64.3,NA,1,0,0,NA,94.6,1,12,1.31,17,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"0.00%",0,0,1,0,3,3,2,3,"60.00%",51,3,1,"5.10%","0.00%","60.00%","20.00%","20.00%","0.00%","0.00%",1,0,1,1,NA,0,0,2
"Donny Jones","ALBANY",53,68.37,"B",73.7,76.8,62.2,NA,5,0,1,NA,79.2,0,9.5,2,15,7.67,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"16.70%",1,0,0,0,3,2,1,2,"100%",30,1,0,"6.70%","0.00%","50.00%","50.00%","0.00%","25.00%","0.00%",3,0,1,0,NA,0,0,1
"Hysan Dalton","IDAHO",52,67.89,"B",67.7,69.8,55.9,NA,1,0,1,NA,39.6,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,2,1,2,0,"0.00%",0,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,1,NA,0,0,0
"Sean Ferguson","W GEORGIA",22,67.89,"B",68.9,67.3,65.6,NA,2,0,0,NA,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"DJ Vincent-Thomas","HARVARD",66,67.75,"B",64.7,63.6,66.3,NA,4,0,1,NA,79.2,0,40,0.95,40,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,1,1,1,1,"100%",40,1,0,"2.40%","0.00%","100%","100%","0.00%","0.00%","0.00%",5,0,1,0,NA,0,0,1
"Julio Tatis","WAGNER",64,67.63,"B",61.2,60.5,63.4,NA,8,2,4,NA,106.8,1,5.9,3.46,11.3,0,0,4,2,0,0,2,0,0,9,0,0,0,0,0,0,0,0,"20.00%",0,0,0,2,7,7,4,12,"85.70%",135,4,2,"10.30%","64.30%","28.60%","0.00%","14.30%","0.00%","20.00%",9,0,0,0,NA,0,0,4
"Jack Oliver","ILL STATE",37,67.58,"B",69.5,68.6,65.4,NA,3,1,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Naz Hill","S ILLINOIS",18,67.24,"B",68.6,65.3,68.1,NA,1,0,1,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Prystyn Cambre","NICHOLLS",20,67.23,"B",69,62.3,71,NA,1,0,1,NA,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Brayden Isaiah","MAINE",51,66.48,"B",69.4,68.1,68.5,59.9,4,0,1,NA,56.3,0,4.5,0.04,1,5.5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,1,1,"50.00%",1,0,0,"0.00%","100%","0.00%","0.00%","0.00%","0.00%","0.00%",3,0,0,1,0,0,0,0
"Jaelen Collins","N ARIZONA",58,66.17,"B",64.9,61.1,75.7,NA,5,0,3,NA,87.5,0,5.8,0.94,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,4,4,2,5,"83.30%",30,1,0,"0.00%","0.00%","16.70%","0.00%","0.00%","0.00%","0.00%",6,0,0,1,NA,0,0,0
"Jacob Black","SE LA",21,66.11,"B",76.1,75.5,60,60,1,0,1,NA,56.3,0,1.5,0.24,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,2,1,"50.00%",4,0,1,"0.00%","0.00%","0.00%","0.00%","50.00%","0.00%","0.00%",1,0,0,0,0,0,0,0
"Myti Johnson","W GEORGIA",29,65.45,"B",68,66.7,67.6,59.8,2,0,0,NA,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,0,0,0,0
"Anez Jordan","MERCYHURST",64,65.41,"B",73.3,72.9,65.1,NA,4,0,1,NA,79.5,0,12.6,0.68,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,2,5,"71.40%",30,1,0,"0.00%","0.00%","14.30%","0.00%","0.00%","0.00%","0.00%",3,0,0,1,NA,0,0,0
"A.J. Tisdell","INCAR WORD",74,65.18,"B",62.1,60.3,68.7,NA,6,0,1,NA,73.3,1,14.9,1.28,8.5,12,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"25.00%",0,0,0,0,5,5,4,6,"60.00%",51,3,1,"0.00%","0.00%","30.00%","0.00%","10.00%","0.00%","28.60%",6,0,0,2,NA,0,0,0
"Da'Quan Gonzales","NEW HAMP",49,65.06,"B",62,64,54.9,NA,2,0,0,NA,39.6,1,21.8,0,0,7.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,3,2,2,0,"0.00%",0,0,2,"0.00%","0.00%","0.00%","0.00%","50.00%","33.30%","0.00%",3,0,0,1,NA,0,0,0
"Jakarri Martin II","NC CENT",62,65.05,"B",67.1,63.7,76.7,NA,5,2,0,NA,104.9,0,13.7,0.94,17,16,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,2,2,2,0,2,"66.70%",34,2,0,"2.80%","0.00%","66.70%","0.00%","0.00%","0.00%","0.00%",3,0,0,0,NA,0,0,1
"CJ Fraser","SE LA",80,65.01,"B",68.2,69.3,56.9,NA,4,0,1,NA,65.3,1,13.8,1.36,17,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20.00%",0,0,0,0,6,5,3,4,"66.70%",68,2,1,"4.00%","0.00%","33.30%","16.70%","16.70%","0.00%","20.00%",3,0,1,1,NA,0,0,2
"Matthias Lighten","SACR HEART",31,64.99,"B",67.4,67.1,61.9,NA,1,0,1,NA,56.3,0,23.5,0.28,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,1,"50.00%",5,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,1,NA,0,0,0
"Grant Noland","N DAKOTA",64,64.82,"B",67.5,69.3,60.6,58.5,6,0,2,NA,71.5,0,14.7,0.43,5,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"14.30%",1,0,0,0,3,1,1,2,"66.70%",10,1,0,"0.00%","0.00%","33.30%","0.00%","0.00%","33.30%","0.00%",6,0,0,1,0,0,0,0
"Amari Sifford","NC CENT",59,64.58,"B",64.9,64.8,51.1,76.8,1,0,1,NA,49.6,2,8.6,0.5,8.5,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"75.00%",0,0,1,0,4,3,2,2,"40.00%",17,1,2,"0.00%","0.00%","20.00%","0.00%","40.00%","100%","66.70%",4,0,0,0,100,1,0,0
"Jacoby Davis","ABILENE CH",31,64.53,"B",69.1,68.1,64.6,NA,NA,0,0,NA,85.4,1,23.5,1.05,20,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,1,1,1,1,"50.00%",20,1,1,"5.30%","0.00%","50.00%","0.00%","50.00%",NA,NA,1,0,0,0,NA,0,0,1
"Quincy Briggs","GEORGETOWN",56,64.23,"B",69.4,69.3,62.5,NA,4,0,1,NA,64.2,1,12.7,1.64,12.8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"33.30%",0,0,0,0,4,4,4,5,"45.50%",64,2,1,"5.10%","0.00%","18.20%","0.00%","9.10%","0.00%","33.30%",7,0,0,5,NA,0,0,2
"Michael Webb","STETSON",46,64.17,"B",60.1,60.4,58.2,NA,3,1,0,NA,63.9,1,13.7,0.97,9.7,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"0.00%",0,0,0,1,4,3,1,3,"50.00%",29,2,1,"0.00%","0.00%","33.30%","0.00%","16.70%","0.00%","0.00%",2,0,0,2,NA,0,0,0
"Mekhi Toms","N IOWA",50,63.91,"B",63.7,65.3,72.8,54.6,7,1,2,NA,95.8,0,4.5,1.73,38,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,2,1,0,1,"50.00%",38,0,0,"4.50%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",4,0,0,1,0,0,0,1
"Vance Sheppert","CAMPBELL",43,63.69,"B",63.3,61.8,60,NA,1,0,0,NA,20.8,0,13,0.67,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,4,4,2,3,"50.00%",24,2,0,"0.00%","0.00%","33.30%","33.30%","0.00%","0.00%","0.00%",1,0,2,2,NA,0,0,0
"Lono Solomon","PORTLAND",66,63.61,"B",58.9,76.9,29.2,59.2,10,2,4,NA,91,0,13,0.71,12,9.75,0,3,0,1,4,1,0,0,2,1,0,0,0,0,0,0,0,"28.60%",1,1,0,2,8,1,3,2,"66.70%",24,2,0,"0.00%","66.70%","66.70%","0.00%","0.00%","44.40%","0.00%",8,0,0,1,0,0,0,0
"Shareef Jackson","MERCER",19,63.59,"B",65.9,62.6,65.3,NA,1,1,0,NA,39.6,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,1,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,1,NA,0,0,0
"Jayden Cornelius","W CAROLINA",37,63.48,"B",65.2,63.1,68.4,NA,3,1,2,NA,95.8,0,9,0.39,4.5,9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,2,2,1,2,"50.00%",9,1,0,"0.00%","0.00%","25.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,2,NA,0,0,0
"JoJo Maxey-Johnson","E WASHGTON",54,63.38,"B",67.1,62.8,79.7,60,7,0,3,NA,142.9,0,9.6,1.26,11,3.75,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"0.00%",2,0,0,0,3,3,1,4,"80.00%",44,3,0,"2.90%","0.00%","60.00%","0.00%","0.00%","0.00%","0.00%",7,0,0,1,0,0,0,1
"Jordan Holmes","DUQUESNE",19,63.32,"B",66.5,64.8,65.2,NA,1,0,0,NA,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",2,0,0,0,NA,0,0,0
"Tramar Gilbert","TXAMEA",52,63.15,"B",60.9,65.4,50.1,76.6,6,2,1,NA,79.2,0,-2,-0.12,-2,6.75,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,"25.00%",1,0,2,2,4,0,0,1,"100%",-2,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","25.00%","0.00%",5,0,0,0,25,2,0,0
"Tyler Gibson","CORNELL",75,62.91,"B",64.7,66,59.3,59.7,7,3,1,NA,82.4,0,12.3,1.3,7,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,"22.20%",0,0,0,3,4,3,2,5,"71.40%",35,0,1,"0.00%","0.00%","0.00%","0.00%","14.30%","33.30%","16.70%",6,0,0,1,0,0,0,0
"Aki Harvey","MORGAN ST",63,62.9,"B",67.9,66.1,70.7,NA,4,0,2,NA,94.3,0,13,1.17,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,0,3,3,2,5,"71.40%",55,3,0,"2.10%","0.00%","42.90%","0.00%","0.00%","0.00%","0.00%",4,0,0,2,NA,0,0,1
"Chase Arrington","CAMPBELL",19,62.58,"B",67.8,67.1,61.1,59.7,2,0,0,NA,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,0,0,0,0
"Hasson Manning Jr.","MONMOUTH",22,62.5,"B",65.8,64,67.7,57.1,NA,0,0,NA,39.6,0,16,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,0,0,0,1,0,0,0,0
"Ife Current","S DAK ST",16,61.97,"B",57.7,55.3,64.5,NA,1,0,0,NA,39.6,0,41,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,1,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"DaMari Smith","CENT ARK",19,61.91,"B",64.8,64.1,61.5,NA,NA,0,0,NA,39.6,0,24,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,0,0,0,1,NA,0,0,0
"Zyon Floyd","PORTLAND",40,61.85,"B",60.9,62.7,54.6,NA,3,1,1,NA,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"0.00%",1,0,0,1,2,1,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Ky'Ree Murphy","WOFFORD",23,61.59,"B",65.8,62.9,65.8,NA,1,0,0,NA,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,NA,0,0,0
"Jahaad Fort","N ARIZONA",45,61.57,"B",62.5,63.9,58.4,58.3,4,1,1,NA,66.7,0,8,0.46,11,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,"20.00%",1,1,0,1,2,1,0,1,"50.00%",11,1,0,"0.00%","0.00%","50.00%","0.00%","0.00%","33.30%","0.00%",3,0,0,1,0,0,0,0
"Javario Tinch","WOFFORD",30,61.51,"B",66.5,65.6,64.3,59.5,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",0,0,0,0,0,0,0,0
"Isaac Nyenabo","W GEORGIA",26,61.07,"B",66.8,65.5,64,NA,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,0,0,"0.00%",0,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%",NA,NA,1,0,0,0,NA,0,0,0
"Demetrius Simon","CAL POLY",34,60.98,"B",72,71.9,63.4,NA,1,0,1,NA,83.3,0,4,0.25,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0.00%",0,0,0,0,0,0,1,1,"100%",4,0,0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%",1,0,0,0,NA,0,0,0
"Joshua Narh","MORGAN ST",72,60.9,"B",77.2,81.2,51.9,57.5,2,0,0,NA,36.1,0,10.3,0.24,6.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"50.00%",0,0,0,0,3,2,1,2,"66.70%",13,1,0,"0.00%","0.00%","33.30%","33.30%","0.00%","100%","33.30%",5,0,1,0,0,0,0,0
