"Name","Team","Season","Position","Conference","Conference_Level","Offensive.Snaps","Pass.Grade","Dropbacks","Attempts","Completion","Completion.Percentage","Adjusted.Completion.Percentage","Passing.Yards","Yards.per.Attempt.Pass","Yards.After.Catch.per.Completion.Percentage","Passing.Touchdowns","Interceptions","Sacks","Average.Time.to.Throw","Batted.Passes","Pass.Break.Up","Turnover.Worthy.Plays","Turnover.Worthy.Plays.Percentage","Big.Time.Throws","Big.Time.Throw.Percentage","Dropped.Passes","NFL.Passer.Rating","Average.Depth.of.Targets","Short.of.Sticks.Percentage","Percentage.of.Pass.Attempts.passed.First.Down.Markers","Air.Yards.Percentage","First.Downs","Play.Action.Percentage","Accuracy.Attempts","Accurate.Plus.Percentage","Catchable.Innacurate.Percentage","Uncatchable.Innacurage.Percentage","Other.Percentage","Accurate.Throw.Percentage","Rush.Grade","Rush.Yards","Yards.per.Attempt.Rush","Rush.Touchdowns","First.Down.Runs","Fumbles","Fumbles.Lost","Missed.Tackles.on.Runs","Yards.before.Contact.per.Attempt","Yards.after.Contract.per.Attempt","Scrambles","First.down.or.Touchdown.percentage","Missed.Tackles.forced.per.Attempt","Explosive.Runs","Change.of.direction.percentage","Composite_Score","Player_Grade"
"Alex Gevaudan","MERCYHURST",2026,"QB","Northeast","FCS",39,56.9,23,21,13,"61.90%","68.40%",145,6.9,"40.70%",1,1,1,2.42,1,2,1,"4.30%",0,"0.00%",0,78.5,10.5,"42.90%","47.60%","59.30%",8,"43.50%",19,"10.50%","10.50%","26.30%","10.50%","63.20%",57.8,7,7,0,0,0,0,0,6,1,1,"0.00%",0,0,"0.00%",36.24,"D"
"Cornelious Brown IV","ALAB A&M",2026,"QB","SWAC","FCS",NA,NA,22,22,16,"72.70%","72.70%",174,7.9,"42.50%",1,0,0,0,0,0,0,"0.00%",0,"0.00%",0,110.8,6.3,"59.10%","40.90%","60.90%",12,"0.00%",0,"0","0","0","0","0",NA,23,11.5,0,1,0,0,0,9,2.5,0,"50.00%",0,1,"0.00%",36.16,"D"
"Andrew Body","ALABAMA ST",2026,"QB","SWAC","FCS",43,77.8,18,17,12,"70.60%","88.20%",121,7.1,"71.90%",1,1,0,2.26,0,0,0,"0.00%",0,"0.00%",3,85.7,-0.5,"64.70%","35.30%","28.10%",6,"22.20%",0,"0","0","0","0","0",63.5,26,8.7,0,0,0,0,0,6.3,2.3,1,"0.00%",0,1,"0.00%",36.11,"D"
"Brady Stober","ELON",2026,"QB","CAA","FCS",20,64.7,12,12,5,"41.70%","60.00%",52,4.3,"11.50%",0,0,0,2.67,0,1,0,"0.00%",1,"8.30%",1,54.9,15.5,"25.00%","58.30%","88.50%",3,"25.00%",0,"0","0","0","0","0",62.4,7,7,0,1,0,0,0,6,1,0,"100%",0,0,"0.00%",35.68,"D"
"David Lynch","HOLY CROSS",2026,"QB","Patriot","FCS",71,57.6,41,36,19,"52.80%","59.40%",264,7.3,"47.30%",0,3,1,3.09,0,5,3,"7.30%",1,"2.80%",0,41.9,10.9,"47.20%","41.70%","52.60%",13,"7.30%",0,"0","0","0","0","0",48.6,14,3.5,0,0,0,0,0,-0.8,2.8,4,"0.00%",0,0,"0.00%",35.67,"D"
"Landon Sharpe","PRESBYTERN",2026,"QB","Pioneer","FCS",55,58.1,32,30,18,"60.00%","67.90%",209,7,"54.10%",0,0,1,1.98,1,3,0,"0.00%",0,"0.00%",1,81.1,9.5,"43.30%","50.00%","45.90%",8,"12.50%",0,"0","0","0","0","0",62,63,5.3,0,3,0,0,3,2.8,2.4,1,"25.00%",0.25,2,"0.00%",34.52,"D"
"Jaxon Dailey","N IOWA",2026,"QB","Missouri Valley","FCS",NA,NA,37,29,20,"69.00%","74.10%",287,9.9,"43.50%",0,1,5,0,0,0,0,"0.00%",0,"0.00%",0,86.4,10.1,"37.90%","55.20%","56.50%",17,"0.00%",0,"0","0","0","0","0",NA,62,5.6,3,7,0,0,0,3.5,2.1,2,"63.60%",0,2,"0.00%",34.19,"D"
"Kyle Lowe","SE LA",2026,"QB","Southland","FCS",38,47.2,22,20,12,"60.00%","65.00%",186,9.3,"76.90%",2,2,1,1.93,0,1,3,"13.60%",0,"0.00%",1,84.6,5.7,"75.00%","25.00%","24.20%",8,"27.30%",20,"10.00%","25.00%","25.00%","5.00%","50.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.68,"D"
"Riley Warzynski","DRAKE",2026,"QB","Pioneer","FCS",NA,NA,62,61,30,"49.20%","50.80%",232,3.8,"31.50%",1,0,1,0,1,0,0,"0.00%",0,"0.00%",0,64.4,10,"55.70%","41.00%","68.50%",13,"0.00%",0,"0","0","0","0","0",NA,18,3,0,2,0,0,0,1.3,1.7,0,"33.30%",0,1,"0.00%",32.27,"D"
"Kevin White","NC A&T",2026,"QB","CAA","FCS",48,51.4,28,20,9,"45.00%","55.60%",122,6.1,"73.00%",1,0,5,2.94,0,2,1,"3.60%",0,"0.00%",1,81.7,9.9,"55.00%","35.00%","27.10%",6,"21.40%",15,"6.70%","40.00%","26.70%","33.30%","33.30%",64.8,53,5.9,0,3,0,0,1,3,1.9,3,"33.30%",0.11,3,"16.70%",32.12,"D"
"Eric Rodriguez","TXAMEA",2026,"QB","Southland","FCS",34,49,22,16,9,"56.30%","66.70%",110,6.9,"44.50%",1,2,4,2.58,1,2,3,"13.60%",1,"6.30%",1,58.9,9,"43.80%","50.00%","55.50%",6,"40.90%",0,"0","0","0","0","0",62.3,30,7.5,0,2,0,0,0,5.8,1.8,2,"50.00%",0,2,"0.00%",32.04,"D"
"Luca Stanzani","LIUSHAR",2026,"QB","Northeast","FCS",45,67.6,25,20,11,"55.00%","61.10%",109,5.5,"35.80%",0,0,2,2.89,2,0,0,"0.00%",1,"5.00%",0,70.6,9.2,"55.00%","35.00%","64.20%",8,"32.00%",18,"0","22.20%","38.90%","11.10%","38.90%",52.4,25,2.5,0,2,1,0,1,-0.9,3.4,3,"20.00%",0.1,1,"0.00%",31.63,"D"
"Jake Curry","S ILLINOIS",2026,"QB","Missouri Valley","FCS",73,50,33,29,13,"44.80%","60.00%",153,5.3,"66.70%",2,0,2,2.52,0,0,0,"0.00%",0,"0.00%",2,84.4,7.4,"44.80%","41.40%","33.30%",10,"33.30%",0,"0","0","0","0","0",52,24,3,0,1,1,0,1,-0.4,3.4,2,"12.50%",0.13,1,"0.00%",30.89,"D"
"Destin Wade","N ALABAMA",2026,"QB","United Athletic","FCS",42,59.2,27,25,12,"48.00%","63.60%",113,4.5,"74.30%",0,0,1,2.28,2,0,1,"3.70%",1,"4.00%",2,60.9,6.4,"60.00%","28.00%","25.70%",6,"33.30%",20,"5.00%","15.00%","45.00%","10.00%","40.00%",68.6,21,5.3,2,3,0,0,0,1.5,0.8,1,"75.00%",0,1,"0.00%",30.64,"D"
"Jim Ogle","MURRAY ST",2026,"QB","Missouri Valley","FCS",32,57,17,17,11,"64.70%","73.30%",117,6.9,"40.20%",0,0,0,1.99,2,1,1,"5.90%",0,"0.00%",0,84.7,8,"35.30%","52.90%","59.80%",6,"41.20%",15,"26.70%","13.30%","26.70%","13.30%","60.00%",NA,9,9,0,1,0,0,0,7,2,0,"100%",0,0,"0.00%",30.17,"D"
"Tate Surber","TENN MARTN",2026,"QB","Big South - OVC Football Association","FCS",49,55.1,27,27,18,"66.70%","72.00%",238,8.8,"78.10%",0,1,0,2.35,0,2,1,"3.70%",0,"0.00%",0,78.9,6.9,"59.30%","33.30%","21.90%",11,"29.60%",0,"0","0","0","0","0",59.5,3,3,0,0,0,0,0,2,1,0,"0.00%",0,0,"0.00%",29.29,"D"
"Cole Meehan","MERRIMACK",2026,"QB","IND (FCS)","FCS",36,69.9,26,25,10,"40.00%","63.60%",106,4.2,"40.60%",0,0,1,2.67,2,1,0,"0.00%",1,"4.00%",4,53.1,10.7,"48.00%","40.00%","59.40%",6,"34.60%",20,"5.00%","15.00%","45.00%","25.00%","40.00%",59.6,1,1,0,0,0,0,0,-2,3,0,"0.00%",0,0,"0.00%",29.19,"D"
"Jalen Woods","HAMPTON",2026,"QB","CAA","FCS",27,66.2,17,12,7,"58.30%","63.60%",56,4.7,"50.00%",0,2,4,2.89,1,0,0,"0.00%",1,"8.30%",0,30.6,7.1,"58.30%","25.00%","50.00%",2,"11.80%",0,"0","0","0","0","0",63.7,0,0,0,0,0,0,2,-2.7,2.7,1,"0.00%",0.67,0,"0.00%",28.85,"D"
"Ty Pennington","N ARIZONA",2026,"QB","Big Sky","FCS",46,59.6,34,27,16,"59.30%","68.00%",186,6.9,"61.30%",0,1,5,2.93,1,1,2,"5.90%",1,"3.70%",1,64.7,7,"55.60%","37.00%","38.70%",8,"17.60%",0,"0","0","0","0","0",57.1,5,1.7,0,0,0,0,1,-2.3,3.7,2,"0.00%",0.33,0,"0.00%",28.85,"D"
"Keely Watson","SCAR STATE",2026,"QB","MEAC","FCS",54,50.6,19,19,11,"57.90%","77.80%",168,8.8,"54.20%",0,2,0,2.84,0,1,3,"15.80%",1,"5.30%",3,47.6,8.8,"52.60%","42.10%","45.80%",7,"21.10%",0,"0","0","0","0","0",72.5,25,8.3,0,1,0,0,0,7.3,1,0,"33.30%",0,1,"0.00%",28.8,"D"
"Aiden McCown","LAMAR",2026,"QB","Southland","FCS",52,56.2,31,28,16,"57.10%","61.50%",137,4.9,"40.20%",0,3,1,2.57,0,3,2,"6.50%",0,"0.00%",0,30.5,9.8,"42.90%","50.00%","59.90%",11,"41.90%",25,"4.00%","36.00%","24.00%","12.00%","40.00%",61.7,18,6,0,2,0,0,0,1.3,0.7,2,"66.70%",0,1,"0.00%",28.03,"D"
"Jax Leatherwood","TENN TECH",2026,"QB","Southern","FCS",61,45.7,35,32,19,"59.40%","65.50%",161,5,"45.30%",2,1,2,0.36,0,1,1,"2.90%",0,"0.00%",0,80.3,7.4,"50.00%","40.60%","57.80%",7,"2.90%",0,"0","0","0","0","0",51.2,-2,-0.5,0,0,0,0,0,-1.8,1.3,1,"0.00%",0,0,"0.00%",27.91,"D"
"Bronson Barben","UTAHTC",2026,"QB","Big Sky","FCS",43,74.5,25,23,12,"52.20%","80.00%",115,5,"56.50%",0,1,1,2.3,0,1,0,"0.00%",0,"0.00%",4,48.3,8.5,"52.20%","34.80%","43.50%",8,"24.00%",0,"0","0","0","0","0",63.7,12,3,0,2,0,0,0,2.5,0.5,1,"50.00%",0,1,"0.00%",27.32,"D"
"Ui Ale","DELWARE ST",2026,"QB","MEAC","FCS",61,56.3,41,37,19,"51.30%","64.70%",210,5.7,"51.90%",0,3,2,2.59,1,3,2,"4.90%",1,"2.70%",3,34.7,10.2,"51.30%","40.50%","48.10%",10,"21.90%",0,"0","0","0","0","0",40.1,36,7.2,0,1,1,1,2,2.6,4.6,2,"20.00%",0.4,2,"33.30%",27.29,"D"
"John David Black","ABILENE CH",2026,"QB","United Athletic","FCS",63,52.1,40,35,18,"51.40%","58.10%",119,3.4,"41.20%",0,1,2,2.5,1,5,2,"5.00%",0,"0.00%",0,47.2,7.2,"51.40%","37.10%","58.80%",9,"17.50%",30,"10.00%","13.30%","30.00%","16.70%","56.70%",57.6,22,5.5,0,1,0,0,1,-1.3,1.3,3,"25.00%",0.25,1,"0.00%",27.17,"D"
"Deljay Bailey","NORFOLK",2026,"QB","MEAC","FCS",60,52.8,31,20,14,"70.00%","73.70%",94,4.7,"43.60%",0,1,6,3.13,0,1,2,"6.50%",0,"0.00%",0,59.2,7.9,"55.00%","40.00%","56.40%",5,"29.00%",19,"0","21.10%","26.30%","5.30%","52.60%",54.6,58,3.9,1,3,0,0,5,0.5,3.3,5,"20.00%",0.33,1,"0.00%",26.72,"D"
"Cameron Edge","MORGAN ST",2026,"QB","MEAC","FCS",29,55.9,17,15,6,"40.00%","53.80%",54,3.6,"40.70%",0,0,2,2.51,1,1,0,"0.00%",0,"0.00%",1,50.4,10.8,"46.70%","40.00%","59.30%",2,"11.80%",11,"0","45.50%","36.40%","36.40%","18.20%",63.2,11,11,0,1,0,0,1,6,5,0,"100%",1,1,"0.00%",26.59,"D"
"Daylin Lee","TENN STATE",2026,"QB","Big South - OVC Football Association","FCS",36,63.4,21,19,11,"57.90%","78.60%",62,3.3,"27.40%",0,0,1,1.87,1,0,0,"0.00%",0,"0.00%",0,63.9,6.7,"57.90%","15.80%","72.60%",3,"9.50%",13,"15.40%","38.50%","0","53.80%","61.50%",63.2,7,7,0,0,0,0,0,7,0,0,"0.00%",0,0,"0.00%",25.42,"D"
"Winston Watkins","WM & MARY",2026,"QB","Patriot","FCS",52,55.2,20,13,6,"46.20%","53.80%",95,7.3,"48.40%",0,0,7,3.01,0,0,0,"0.00%",1,"7.70%",1,71,15.8,"38.50%","61.50%","51.60%",4,"15.00%",0,"0","0","0","0","0",56.1,45,5,0,3,1,1,0,3.6,1.4,0,"33.30%",0,3,"0.00%",25.14,"D"
"Garret Rangel","TXRG",2026,"QB","Southland","FCS",51,59.3,40,35,20,"57.10%","67.70%",160,4.6,"51.20%",0,0,2,2.89,3,1,0,"0.00%",0,"0.00%",1,68.8,7.4,"54.30%","34.30%","48.80%",11,"30.00%",0,"0","0","0","0","0",57.1,14,4.7,0,1,0,0,1,0.3,0,3,"33.30%",0.33,0,"0.00%",25.02,"D"
"Isaiah Knowles","FL A&M",2026,"QB","SWAC","FCS",47,56.1,30,24,7,"29.20%","40.90%",88,3.7,"86.40%",0,0,2,2.59,1,1,0,"0.00%",1,"4.20%",2,42.4,12.2,"50.00%","41.70%","13.60%",6,"33.30%",0,"0","0","0","0","0",51.9,5,1,0,0,1,1,3,-2.4,3.4,4,"0.00%",0.6,0,"0.00%",24.95,"D"
"AJ Duffy","NEWHVN",2026,"QB","Northeast","FCS",60,52.8,39,38,18,"47.40%","55.60%",198,5.2,"57.10%",0,3,0,2.52,1,2,3,"7.70%",1,"2.60%",2,30.4,9.9,"50.00%","44.70%","42.90%",9,"28.20%",0,"0","0","0","0","0",54.4,3,1.5,0,0,0,0,0,-1.5,3,1,"0.00%",0,0,"0.00%",24.8,"D"
"Daniel Lipovski","LAFAYETTE",2026,"QB","Patriot","FCS",56,57.7,39,36,16,"44.40%","62.50%",97,2.7,"43.30%",0,0,2,2.2,4,4,2,"5.10%",1,"2.80%",4,51.6,9.7,"52.80%","36.10%","56.70%",9,"48.70%",29,"13.80%","17.20%","27.60%","27.60%","55.20%",57.7,1,1,0,0,0,0,0,1,0,0,"0.00%",0,0,"0.00%",24.64,"D"
"Cam'Ron McCoy","TEXAS STHN",2026,"QB","SWAC","FCS",53,46.1,31,20,10,"50.00%","63.20%",81,4,"33.30%",0,0,7,3.47,0,6,3,"9.70%",0,"0.00%",2,60.6,9.5,"55.00%","40.00%","66.70%",6,"3.20%",0,"0","0","0","0","0",58.8,81,11.6,1,2,0,0,1,10,0.9,4,"28.60%",0.14,3,"0.00%",23.81,"D"
"AJ Hairston Jr.","MERRIMACK",2026,"QB","IND (FCS)","FCS",35,60.3,23,21,12,"57.10%","63.20%",95,4.5,"30.50%",0,1,2,2.57,1,1,0,"0.00%",0,"0.00%",0,48.7,8.8,"52.40%","38.10%","69.50%",5,"13.00%",17,"5.90%","47.10%","17.60%","23.50%","35.30%",59.3,5,1.7,0,0,0,0,0,0.7,1,0,"0.00%",0,0,"0.00%",23.15,"D"
"Anthony Policare","STTHOM",2026,"QB","Pioneer","FCS",NA,NA,25,24,12,"50.00%","63.20%",128,5.3,"61.70%",0,1,1,2.5,0,0,2,"8.00%",0,"0.00%",0,48.6,7,"41.70%","37.50%","38.30%",6,"28.00%",0,"0","0","0","0","0",NA,3,1,0,0,0,0,0,-1.3,2.3,0,"0.00%",0,0,"0.00%",22.64,"D"
"Kennedy McGill","W ILLINOIS",2026,"QB","Big South - OVC Football Association","FCS",40,40.1,24,24,15,"62.50%","65.20%",132,5.5,"46.20%",0,1,0,2.69,1,3,2,"8.30%",0,"0.00%",0,59.7,8.2,"66.70%","29.20%","53.80%",6,"37.50%",0,"0","0","0","0","0",58.5,18,1.5,0,2,0,0,3,-0.5,2,0,"16.70%",0.25,0,"33.30%",22.49,"D"
"Tyler Jefferson","BETH COOK",2026,"QB","SWAC","FCS",29,52.1,16,12,5,"41.70%","63.60%",66,5.5,"19.70%",0,1,2,2.76,0,0,2,"12.50%",0,"0.00%",2,25,11.4,"41.70%","50.00%","80.30%",4,"25.00%",11,"9.10%","9.10%","45.50%","9.10%","45.50%",61.1,28,5.6,0,1,0,0,2,-1.8,7.4,2,"20.00%",0.4,2,"0.00%",21.32,"D"
"Joshua Wood","IDAHO",2026,"QB","Big Sky","FCS",50,42,32,27,9,"33.30%","45.50%",111,4.1,"73.00%",0,1,1,3.37,0,1,1,"3.10%",0,"0.00%",1,31.6,9.5,"40.70%","40.70%","27.00%",7,"6.30%",19,"5.30%","21.10%","36.80%","42.10%","42.10%",60.4,47,5.9,1,2,0,0,1,-0.5,2,4,"25.00%",0.13,1,"0.00%",20.91,"D"
"Jaylon Tolbert","ALCORN ST",2026,"QB","SWAC","FCS",48,45.6,25,23,15,"65.20%","69.60%",119,5.2,"41.20%",0,4,0,2.46,0,1,4,"16.00%",1,"4.30%",1,38.4,10.2,"60.90%","39.10%","58.80%",8,"16.00%",0,"0","0","0","0","0",59.4,10,2.5,0,1,0,0,0,-1.8,0.3,2,"25.00%",0,1,"0.00%",19.98,"F"
"Braylen Ragland","SE MO ST",2026,"QB","Big South - OVC Football Association","FCS",56,37.4,31,23,17,"73.90%","81.00%",141,6.1,"60.30%",0,1,6,2.38,1,1,2,"6.50%",1,"4.30%",0,71.1,7.2,"56.50%","34.80%","39.70%",7,"16.10%",20,"15.00%","10.00%","15.00%","15.00%","75.00%",49.5,6,1.5,0,1,0,0,0,0.8,0.5,2,"25.00%",0,0,"0.00%",19.54,"F"
"Lek Powell","CHARLES SO",2026,"QB","Big South - OVC Football Association","FCS",49,41.8,24,20,7,"35.00%","44.40%",73,3.6,"23.30%",0,0,4,2.92,0,3,1,"4.20%",1,"5.00%",1,46.5,9.6,"40.00%","50.00%","76.70%",2,"20.80%",16,"6.30%","6.30%","50.00%","25.00%","43.80%",50.4,-3,-0.5,0,0,0,0,0,-1.5,1,0,"0.00%",0,0,"0.00%",19.08,"F"
"Jacob Holtschlag","GEORGETOWN",2026,"QB","Patriot","FCS",33,54.3,15,15,7,"46.70%","57.10%",71,4.7,"33.80%",0,1,0,2.67,0,2,0,"0.00%",0,"0.00%",1,32.9,6.7,"53.30%","40.00%","66.20%",3,"46.70%",0,"0","0","0","0","0",59.8,-4,-4,0,0,0,0,0,-5,1,0,"0.00%",0,0,"0.00%",18.89,"F"
"Brennan Myer","BRYANT",2026,"QB","CAA","FCS",45,42.3,21,18,9,"50.00%","61.10%",88,4.9,"50.00%",0,0,2,2.5,0,2,1,"4.80%",0,"0.00%",2,64.1,7.6,"55.60%","44.40%","50.00%",4,"23.80%",17,"0","35.30%","29.40%","5.90%","35.30%",68.1,12,4,0,1,0,0,0,2,0.7,1,"33.30%",0,0,"0.00%",17.26,"F"
"Tyler Travers","E KENTUCKY",2026,"QB","United Athletic","FCS",63,56.4,27,21,13,"61.90%","72.20%",95,4.5,"74.70%",0,2,3,2.79,0,1,2,"7.40%",0,"0.00%",0,32.9,4.4,"57.10%","28.60%","25.30%",9,"29.60%",0,"0","0","0","0","0",53.7,18,3,0,0,1,0,0,1.2,1.8,3,"0.00%",0,0,"0.00%",16.73,"F"
"Ean Rodrigue","NICHOLLS",2026,"QB","Southland","FCS",46,44.3,21,19,7,"36.80%","38.90%",30,1.6,"80.00%",0,0,1,2.31,1,2,0,"0.00%",0,"0.00%",0,45.3,7.1,"52.60%","42.10%","20.00%",1,"33.30%",16,"0","12.50%","43.80%","18.80%","43.80%",58.5,18,3,0,2,0,0,0,1,2,1,"33.30%",0,1,"0.00%",16.67,"F"
"Cole LaCrue","E ILLINOIS",2026,"QB","Big South - OVC Football Association","FCS",35,28,18,14,8,"57.10%","83.30%",55,3.9,"118%",1,0,1,2.96,0,2,3,"16.70%",0,"0.00%",2,89.9,0.8,"71.40%","14.30%","-18.20%",4,"27.80%",12,"8.30%","33.30%","16.70%","16.70%","50.00%",56.5,23,4.6,0,1,0,0,2,0.4,0.8,3,"20.00%",0.4,1,"0.00%",16.56,"F"
"Aidan Jakobsohn","TXRG",2026,"QB","Southland","FCS",20,44.1,12,11,6,"54.50%","54.50%",91,8.3,"82.40%",0,2,0,2.55,0,0,1,"8.30%",0,"0.00%",0,42.4,7.1,"63.60%","36.40%","17.60%",3,"50.00%",0,"0","0","0","0","0",57,3,3,0,0,0,0,0,0,3,1,"0.00%",0,0,"0.00%",16.25,"F"
"Brooks Bentley","NEW HAMP",2026,"QB","CAA","FCS",34,44.4,22,19,12,"63.20%","66.70%",93,4.9,"51.60%",0,1,3,2.42,0,1,2,"9.10%",0,"0.00%",0,53.2,4.9,"84.20%","10.50%","48.40%",3,"40.90%",16,"6.30%","50.00%","25.00%","18.80%","25.00%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.48,"F"
"Cutter Stewart","HOUCHR",2026,"QB","Southland","FCS",41,45.9,21,17,6,"35.30%","50.00%",61,3.6,"29.50%",0,1,2,2.78,0,0,2,"9.50%",0,"0.00%",2,21.9,10.6,"52.90%","41.20%","70.50%",3,"57.10%",15,"6.70%","6.70%","40.00%","13.30%","53.30%",56.6,18,3.6,0,1,0,0,1,0.4,1.6,2,"20.00%",0.2,0,"0.00%",14.99,"F"
"J.T. Fayard","WOFFORD",2026,"QB","Southern","FCS",55,36.3,27,22,11,"50.00%","55.00%",120,5.5,"85.80%",0,1,2,3.13,0,3,3,"11.10%",0,"0.00%",0,47.5,6.5,"50.00%","40.90%","14.20%",6,"18.50%",0,"0","0","0","0","0",50.5,6,1.5,0,0,0,0,0,-0.3,0.5,3,"0.00%",0,0,"0.00%",13.89,"F"
"Garrison Davis","ARKAPB",2026,"QB","SWAC","FCS",22,42.7,16,14,6,"42.90%","53.80%",51,3.6,"51.00%",0,1,1,2.73,0,0,1,"6.30%",0,"0.00%",1,23.2,11.2,"57.10%","35.70%","49.00%",2,"18.80%",11,"0","27.30%","36.40%","27.30%","36.40%",57.3,6,6,0,0,0,0,0,4,2,1,"0.00%",0,0,"0.00%",13.53,"F"
"Battle Alberson","CHATTNOOGA",2026,"QB","Southern","FCS",57,52.1,24,18,6,"33.30%","42.90%",37,2.1,"54.00%",0,2,4,0.54,1,0,0,"0.00%",0,"0.00%",0,2.8,11.9,"38.90%","38.90%","46.00%",1,"4.20%",0,"0","0","0","0","0",48.8,38,6.3,0,1,0,0,1,1.2,5.2,2,"16.70%",0.17,1,"0.00%",13.26,"F"
"Collin Hurst","W GEORGIA",2026,"QB","United Athletic","FCS",29,38.8,21,16,9,"56.30%","68.80%",93,5.8,"91.40%",0,0,2,2.86,0,1,3,"14.30%",0,"0.00%",2,73.2,4.5,"68.80%","31.30%","8.60%",5,"4.80%",14,"14.30%","28.60%","21.40%","14.30%","50.00%",51,7,2.3,0,0,0,0,1,-1.7,1.7,3,"0.00%",0.33,0,"0.00%",12.28,"F"
"Jake Garcia","FURMAN",2026,"QB","Southern","FCS",40,48.4,26,17,8,"47.10%","66.70%",36,2.1,"44.40%",0,0,6,2.45,1,2,0,"0.00%",0,"0.00%",2,53.8,2.5,"82.30%","5.90%","55.60%",2,"30.80%",14,"0","35.70%","14.30%","21.40%","50.00%",54.4,31,4.4,0,2,1,0,2,-1.6,6,3,"28.60%",0.29,1,"25.00%",12.16,"F"
"Abram Johnston","NWSTATE",2026,"QB","Southland","FCS",35,36.7,16,13,5,"38.50%","46.20%",43,3.3,"34.90%",0,1,2,2.57,0,2,2,"12.50%",0,"0.00%",1,15.9,8.4,"69.20%","30.80%","65.10%",2,"12.50%",12,"8.30%","16.70%","41.70%","8.30%","41.70%",59.8,25,4.2,0,1,0,0,0,3.3,0.8,1,"16.70%",0,1,"0.00%",10.88,"F"
"Carson Camp","DUQUESNE",2026,"QB","Northeast","FCS",37,29.2,21,18,7,"38.90%","47.10%",42,2.3,"59.50%",0,2,1,3.21,0,3,2,"9.50%",0,"0.00%",1,7.4,10.1,"33.30%","61.10%","40.50%",4,"14.30%",0,"0","0","0","0","0",61.5,12,6,0,1,0,0,0,-0.5,1,2,"50.00%",0,1,"0.00%",10.28,"F"
"Joshua Brown","MS VLY ST",2026,"QB","SWAC","FCS",26,29.1,14,13,6,"46.20%","50.00%",19,1.5,"205%",0,0,0,2.65,0,1,2,"14.30%",0,"0.00%",0,53,3.2,"76.90%","15.40%","-105.30%",0,"42.90%",0,"0","0","0","0","0",59.2,17,4.3,0,1,0,0,0,1.5,2.8,1,"25.00%",0,0,"0.00%",8.08,"F"
"Gunnar Smith","FORDHAM",2026,"QB","Patriot","FCS",48,36.5,27,22,12,"54.50%","75.00%",116,5.3,"31.90%",0,3,3,2.36,1,1,5,"18.50%",0,"0.00%",3,29.9,7.9,"54.50%","36.40%","68.10%",6,"3.70%",20,"10.00%","20.00%","25.00%","10.00%","55.00%",34.7,-4,-2,0,0,1,1,0,1.5,0.5,2,"0.00%",0,0,"0.00%",0,"F"
