"Name","Team","Defensive.Snaps","Composite_Score","Player_Grade","Defensive.Grades","Run.Defense.Grade","Pass.Rush.Grade","Coverage.Grade","Total.Tackles","Assistant","Stops","Run.Tackle.for.Losss.or.No.Gain","Assist.Tackles.on.Run.Plays","Missed.Tackles.on.Pass.Plays","Average.Depth.of.Tackle","Missed.Tackles.on.Run.Plays","Passer.Rating.Allowed","Receiving.Yards.Allowed.per.Snap","Pass.Rush.Productivity","Unblocked.Pass.Rush","Average.Depth.of.Target.per.Coverage","Assist.on.Pass.Plays","Yards.per.Reception.Allowed","Sacks","Pursuit.Pressure","Pass.Break.Up","Hits","Drops...Off.Targets.Receptions.Forced","Beaten.Defender","Plays.of.15..Yards.Allowed","Forced.Fumble","Lined.up.in.Press.Coverage","Pass.Tackle.for.Loss.or.No.Gain","Fumble.Recovery","Interceptions","Dropped.Int","Touchdowns.Allowed","Batted.Passes","Missed.Tackle.Percentage","Run.Stop","Pass.Stop","Tackle.for.Loss.or.No.Gain","Hurries","Total.Pressures.Generated","Assist.Tackles","Negative.Plays","Total.Negative.Plays","Total.Positive.Plays","Receptions.Allowed","Completion.Percentage.Allowed","Pass.Yards.Allowed","First.Downs.Allowed","Forced.Incompletions","Sacks.per.Throwaway","Open.Targets","X15..Yards.Allowed.Percentage","Percentage.of.Open.Targets","Percentage.of.First.Down.or.Touchdown.Allowed","Interceptions.per.Target.Coverage.Percentage","Receiving.Yards.per.Coverage.Target","Forced.Incompletion.Percentage","Missed.Tackle.Percentage.on.Run.Plays","Pass.Missed.Tackles.Percentage","Total.Tackle.Snaps","NFL.Sacks","First.Contact"
"NICK WHEELER","NEW MEXICO",19,53.71,"C",74.5,88.2,59.7,53.6,5,0,4,1,0,0,1.5,0,72.9,1.75,0,0,6,0,14,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,4,0,1,0,0,0,1,1,0,1,0.5,14,1,0,0,0,0,0,0.5,0,7,0,0,0,5,0,5
"ROCCO NICHOLL","KENT STATE",44,53.68,"C",68,58.2,67.6,66.6,5,1,3,0,1,1,0,1,39.6,0.14,27.8,2,8.8,0,3,1,1,0,2,3,1,0,0,NA,0,0,0,0,0,0,0.286,0,3,0,2,5,1,2,0,0,1,0.25,3,0,0,0,0,0,0,0,0,0.8,0,0.5,0.2,7,0,5
"BRETT MCCALLA","C MICHIGAN",55,53.66,"C",69.5,67.1,64.6,66,7,2,3,0,2,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
"AYDEN JONES","TEXAS ST",48,53.34,"C",85.3,71.4,90.8,73.3,6,1,4,0,1,1,4.67,0,97.2,0.88,12.5,0,3.3,0,7.3,0,1,0,1,0,1,0,0,NA,0,0,0,0,0,0,0.143,2,1,0,1,2,1,2,1,1,3,1,22,1,0,0,0,0,0,0.333,0,7.3,0,0,0.333,7,0,3
"LUKE HODGE","TROY",32,52.98,"C",76.9,76.3,59.9,70.9,4,2,2,0,2,0,4,0,79.2,0.05,0,0,-1,0,0.5,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0,4,0,2
"LOGAN STUDT","FRESNO ST",21,52.61,"C",74.6,69.2,57.4,71.7,4,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
"FATA PULOKA","SACRAMENTO",53,52.29,"C",61.5,67.8,57.3,56.2,4,1,3,1,1,0,1,1,NA,NA,2.3,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0.2,2,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,0,5,0,6
"BRENDEN ANES","W MICHIGAN",30,52.15,"C",64.8,71.2,59.3,58.4,6,2,2,1,1,0,1,0,58.3,0.47,0,0,5.5,1,7,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,2,0,1,0,0,2,4,2,1,1,0.5,7,1,0,0,0,0,0,0.5,0,3.5,0,0,0,6,0,4
"DONELIUS JOHNSON","AKRON",35,51.98,"C",76.5,71.3,54.5,77.1,5,2,3,0,2,0,4,0,91.7,0.35,0,0,5,0,6,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,1,1,1,6,0,0,0,0,0,0,0,0,6,0,0,0,5,0,3
"SIMEON HARRIS","FRESNO ST",38,51.77,"C",70.8,70.7,60,68.3,2,1,1,1,1,0,-1,0,31.9,0.45,0,0,9.7,0,5,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,2,0.667,10,0,0,0,0,0,0,0,0.333,3.3,0,0,0,2,0,1
"GAVIN MOUL","DELAWARE",61,51.48,"C",75.4,85.5,54.6,65.5,8,1,3,0,0,0,3.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5
"NOAH FLEMMINGS","LA MONROE",67,51.33,"C",56.8,67.3,66,40.9,12,1,3,1,1,0,8.44,2,64.6,0.56,16.7,1,6,0,10,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0.143,2,1,1,0,1,1,6,3,0,1,0.5,10,1,0,0,0,0,0,0.5,0,5,0,0.167,0,14,0,11
"BRIAN BATES JR.","SM HOUSTON",55,51.01,"C",64.9,66.5,52.6,65.2,7,3,3,1,1,1,1,1,87.5,0.2,5.6,2,-1,1,5,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.222,2,1,1,1,2,2,4,1,0,1,1,5,1,0,0,0,0,0,1,0,5,0,0.2,0.25,9,0,5
"ZAVIER HAMILTON","USF",32,50.66,"C",62.8,57.7,70.9,61.9,6,2,3,0,2,0,3.67,1,0,0,33.3,0,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.143,2,1,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167,0,7,0,3
"ALEX MITCHELL","APP STATE",58,50.54,"C",60.2,68.8,63.8,49.9,6,3,0,0,3,0,19.67,0,104.2,0.29,50,1,4,0,9,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,1,1,3,3,2,0,1,1,9,0,0,0,0,0,0,0,0,9,0,0,0,6,0,1
"DJ JOHNSON JR.","E CAROLINA",60,49.73,"C",70.9,77,54.2,62,8,2,2,0,2,0,3.67,1,42.4,0.3,0,0,11,0,6,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.111,2,0,0,0,0,2,3,1,1,1,0.333,6,0,0,0,0,0,0,0,0,2,0,0.167,0,9,0,3
"DYLAN LEE","S JOSE ST",63,49.67,"C",58,67.4,73.9,55.1,5,2,2,1,2,2,-3,0,42.4,0.4,0,0,12.7,0,8.5,0,0,0,0,3,1,1,0,NA,0,0,0,0,0,0,0.286,1,1,1,1,1,2,5,4,3,2,0.333,17,1,0,0,0,0.024,0,0.167,0,2.8,0,0,0.5,7,0,5
"DYLAN LAYNE","OREGON ST",29,49.34,"C",76.9,68,60,77.2,4,1,2,0,0,0,5.33,1,39.6,0,0,0,-4,1,0,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0.2,2,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.25,0,5,0,5
"TIM THOMAS","SACRAMENTO",37,49.31,"C",55.9,74.9,55.4,34.8,4,3,1,1,2,1,0,0,NA,NA,0,0,NA,1,NA,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0.2,1,0,1,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,5,0,2
"JA'MEZ DRUMMER","DOMINION",57,49.28,"C",71.6,74.9,64.7,63.3,7,1,4,1,1,1,1,1,83.3,0.33,0,0,-1.5,0,4,0,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0.222,2,2,1,0,0,1,2,1,0,2,1,8,0,0,0,0,0,0,0,0,4,0,0.2,0.25,9,0,7
"CHRISTIAN JOHNSON","NAVY",66,49.05,"C",65.1,67.5,53.3,65.2,11,1,4,0,2,0,4.4,0,91.7,1.2,0,0,-1.3,0,6,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,3,0,0,0,2,2,1,1,3,1,18,0,0,0,0,0,0,0,0,6,0,0,0,11,0,4
"JOE DREW","ARK STATE",49,48.69,"C",70.1,72.3,NA,67,9,2,1,0,2,0,6.5,0,79.2,0.18,NA,0,-0.5,0,3,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,2,1,6,0,0,0,0,0,0,0,0,3,0,0,0,9,0,6
"JORDAN WILLIAMS","S ALABAMA",42,48.48,"C",68.7,75.6,63.6,56.7,4,0,2,1,0,0,11,1,118.8,1.4,8.3,0,20,0,21,0,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0.2,2,0,1,2,3,0,2,1,2,1,1,21,1,0,0,0,0.067,0,1,0,21,0,0.25,0,5,0,4
"JORDAN DONALD","W KENTUCKY",27,48.21,"C",76.8,68.7,80,65.3,2,1,0,0,0,0,5,0,39.6,0,0,1,3,1,0,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"ZHERIC HILL","LA TECH",65,47.96,"C",55,54.6,56,61.1,4,1,2,0,1,0,1,0,0,0,6.5,0,0,0,0,0,1,0,1,0,0,0,0,NA,0,0,1,0,0,0,0,1,1,0,3,4,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"KEVON MERRELL","E CAROLINA",48,47.86,"C",69.1,73.3,65.6,62,6,2,1,0,1,0,8,0,118.8,0.82,25,1,14,1,14,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,0,1,1,14,1,0,0,0,0,0,1,0,14,0,0,0,6,0,1
"MERCURY SWAIM","NEW MEXICO",32,47.77,"C",66.2,62.2,66.2,63.4,3,0,2,0,0,0,2,0,79.2,-0.17,50,1,-4,0,-3,0,2,0,2,0,0,0,0,NA,1,0,0,0,0,0,0,1,1,1,1,3,0,3,1,1,1,1,-3,0,0,0,0,0,0,0,0,-3,0,0,0,3,0,4
"SHAY SMITH","UTEP",31,46.77,"C",59.8,55.9,57,64,3,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
"JACK FRIES","OHIO",76,46.64,"C",58,56.3,56.8,60,10,5,0,0,3,0,6.5,1,107.5,1.58,33.3,2,3.2,2,9.8,0,1,0,1,0,0,2,0,NA,0,0,0,0,0,0,0.091,0,0,0,2,3,5,6,2,0,5,1,49,3,0,0,0,0.065,0,0.6,0,9.8,0,0.125,0,11,0,5
"MONTRELL CHAPMAN","DOMINION",17,46.64,"C",62.6,64.5,55.4,62.1,2,0,1,1,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"ISAAC PRINCE","TOLEDO",15,46.4,"C",78.8,72.7,NA,70.7,2,1,1,0,1,0,0,0,56.3,0,NA,0,2.5,0,0,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"DORIAN PRINGLE","BOWL GREEN",48,46.38,"C",65.9,76.5,59.6,53.7,7,0,4,2,0,1,2,1,118.8,1.42,0,0,-2.5,0,17,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0.222,4,0,2,0,0,0,4,2,0,2,1,34,1,0,0,0,0.042,0,0.5,0,17,0,0.143,0.5,9,0,8
"JAYDEN WILSON","UTEP",23,46.11,"C",70.5,71.7,56.7,63.8,3,1,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.25,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,4,0,1
"NOLAN MCCAMY","NAVY",17,46,"C",63.7,66.4,55.5,61.6,1,0,1,1,0,0,-1,0,0,0,6.3,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"TORY GETHERS","NEW MEX ST",67,45.81,"C",73,73.5,58.9,70.2,7,1,3,0,1,0,2,0,118.8,1.84,6.3,0,3.2,0,14,0,0,0,0,0,0,1,0,NA,1,0,0,0,0,0,0,1,2,1,1,1,1,1,1,2,5,1,70,1,0,0,0,0.026,0,0.2,0,14,0,0,0,7,0,4
"CAMERON COOPER","S DIEGO ST",29,45.79,"C",63.5,45.2,70.2,71.8,4,1,2,0,1,0,6,0,0,0,50,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"JAYDEN FLAKER","NEW MEXICO",15,45.63,"C",67.5,69.1,59.2,63,1,0,1,1,0,0,0,0,39.6,0,0,0,7,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
"LEON HART JR.","FAU",53,45.59,"C",65.7,62.5,46.4,71.8,6,0,4,0,0,1,3.5,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,NA,1,1,0,0,0,0,0.143,2,2,1,1,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,7,0,8
"MYLES BUTLER","JVILLE ST",50,45.41,"C",59.2,58.9,55.8,60.7,7,5,1,0,5,0,0,1,93.1,0.83,0,0,1,0,6.3,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0.125,0,1,0,0,0,5,4,1,0,3,1,19,1,0,0,0,0.043,0,0.333,0,6.3,0,0.167,0,8,0,2
"GAVIN SELL","N DAK ST",53,45.21,"C",44.7,46.4,59.4,57,7,2,4,0,2,0,4.25,0,NA,NA,0,0,NA,0,NA,0,1,0,1,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,3,1,0,0,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7,0,5
"MALCOLM MCCAIN","MIAMI OH",31,45.16,"C",57.8,70.6,57.3,50.1,6,1,2,1,1,1,1.75,0,42.4,0.31,0,0,4,0,5,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.143,2,0,1,0,0,1,3,2,0,1,0.333,5,0,0,0,0,0,0,0,0,1.7,0,0,0.5,7,0,7
"BOEN PHELPS","BOISE ST",45,45.04,"C",52.2,89.3,52.1,29.8,7,1,5,1,1,2,1.5,0,158.3,7.47,12.5,4,5.5,0,28,0,0,0,2,0,0,2,0,NA,0,0,0,0,1,0,0.222,4,1,1,2,4,1,4,3,0,4,1,112,2,0,0,0,0.133,0,0.5,0,28,0,0,0.5,9,0,4
"DARION WHITE","UTSA",61,45,"C",62.1,61.8,64.6,59.4,8,4,2,0,3,0,4.5,2,118.8,0.83,0,0,17,1,19,0,1,0,1,0,0,1,0,NA,0,0,0,0,0,0,0.2,2,0,0,0,1,4,6,1,1,1,1,19,1,0,0,0,0.043,0,1,0,19,0,0.222,0,10,0,7
"CONOR MCPHERSON","LA LAFAYET",65,44.99,"C",55.9,66.9,62.5,44.8,8,3,4,0,2,1,2.25,1,56.3,0.25,8.3,0,6.5,1,6,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0.2,4,0,0,1,1,3,8,3,0,1,0.5,6,0,0,0,0,0,0,0,0,3,0,0.143,0.333,10,0,3
"JAWARREN CORBIN","DELAWARE",21,44.38,"C",57.7,52.1,62.4,63.2,3,1,2,1,0,0,0.5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0.25,2,0,1,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0,4,0,3
"JAMIH OTIS","HAWAII",65,44.28,"C",81.4,62,65,88.2,5,0,2,0,0,0,3.5,1,56.3,0.74,12.5,0,10,1,25,0,0,0,1,1,0,1,0,NA,0,1,1,0,0,0,0.167,2,0,0,0,1,1,4,1,3,1,0.5,25,1,0,0,0,0.029,0,0.5,0.5,12.5,0,0.333,0,6,0,5
"ASHER CUNNINGHAM","UTAH ST",35,44.27,"C",75.5,74.7,67.1,66.9,4,0,2,0,0,0,5,0,104.2,0.47,25,1,3,0,9,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,9,0,0,0,0,0,0,0,0,9,0,0,0,4,0,3
"JACK ELLISON","WASH STATE",16,44.18,"C",70.1,69.2,NA,63,3,1,2,0,1,0,1.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"COLTON PHARES","APP STATE",63,44.1,"C",70.2,66.3,69.4,66.8,5,1,4,0,1,0,5,1,118.8,0.39,0,0,10,0,13,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0.167,3,1,0,0,0,1,1,0,1,1,1,13,0,0,0,0,0,0,0,0,13,0,0.2,0,6,0,5
"MARC PRETTO","COLO STATE",26,43.2,"C",70.8,71.9,59.5,62,3,1,1,0,1,0,2,0,39.6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"GYRIECE GOODMAN","OREGON ST",65,42.96,"C",74.6,78.6,60,68.3,8,0,3,0,0,0,4,0,81.9,0.42,0,0,2.3,0,3.7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,11,0,0,0,2,0,0.667,0,0,3.7,0,0,0,8,0,6
"SAM STONE","TULSA",19,42.6,"C",70.1,70.5,NA,64.7,4,1,0,0,1,0,4,0,87.5,0.38,NA,1,4,1,5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,1,5,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3
"ANDRE COBB","FRESNO ST",29,42.55,"C",70.6,65.3,72.4,65.7,1,0,0,0,0,0,18,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"JOSIAH TAYLOR","FIU",35,41.86,"C",74.3,70.9,75.9,64.5,NA,0,0,NA,NA,NA,0,NA,0,0,0,1,0,NA,0,0,0,0,0,0,1,0,0,NA,NA,0,0,0,0,1,NA,NA,NA,0,1,1,NA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0
"JADEN KELLY","GA STATE",22,41.8,"C",61.6,72.4,73.8,48.6,4,2,1,0,1,1,12,0,74.3,0.75,50,1,0.7,1,6,1,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.333,0,1,0,0,1,2,2,2,0,2,0.667,12,1,0,0,0,0,0,0.333,0,4,0,0,0.333,6,0,5
"K'VION THUNDERBIRD","FRESNO ST",40,41.79,"C",57.9,55.5,59.2,60.3,6,2,2,0,1,0,6.67,0,42.4,0.33,0,0,8.7,1,8,0,0,0,0,2,0,0,0,NA,1,0,0,0,0,0,0,1,1,1,0,0,2,4,1,0,1,0.333,8,1,0,0,0,0,0,0.333,0,2.7,0,0,0,6,0,2
"CHRIS THOMPSON JR.","TULSA",51,41.43,"C",64.3,52.5,67.7,66.5,9,1,3,0,1,0,6,0,158.3,3.96,25,1,1.8,0,25.8,0,1,0,1,0,0,1,0,NA,0,0,0,0,1,1,0,0,3,0,2,3,1,5,1,2,4,1,103,2,0,0,0,0.039,0,0.5,0,25.8,0,0,0,9,0,8
"HARRISON TAGGART","UTAH ST",35,41.35,"C",72.1,72.3,57.3,67.7,5,2,2,0,0,1,2,0,95.8,0.35,16.7,0,1,2,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,2,0,0,1,1,2,1,0,0,1,1,7,0,0,0,0,0,0,0,0,7,0,0,0.25,6,0,4
"JACKSON BARKER","E CAROLINA",28,41.24,"C",63.5,66,56.5,60.6,4,2,2,0,2,1,3,0,70.1,0.44,0,0,1.7,0,2,0,0,0,0,1,0,0,0,NA,1,0,0,0,0,0,0.2,1,1,1,0,0,2,3,1,1,2,0.667,4,0,0,0,0,0,0,0,0,1.3,0,0,0.5,5,0,1
"KOA NAOTALA","DOMINION",40,41.1,"C",67.1,64.7,61.2,65.3,3,0,1,0,0,0,2,2,0,0,20,3,0,0,0,0,0,0,2,0,0,0,0,NA,0,0,0,0,0,0,0.4,1,0,0,1,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,5,0,4
"CAM SANTEE","UNLV",54,40.94,"C",66.6,77.8,56.6,54.9,8,1,4,1,0,0,1.6,1,118.8,2.08,0,0,18.5,1,25,0,0,0,0,0,0,2,0,NA,0,0,0,0,0,0,0.111,4,0,1,0,0,1,4,2,0,2,1,50,2,0,0,0,0.083,0,1,0,25,0,0.167,0,9,0,2
"BRAYSHAWN LITTLEJOHN","FIU",36,40.73,"C",64,63.2,55.7,64,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"JAKE RIPP","BOISE ST",20,40.45,"C",65.7,66,59.6,62.6,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"SAYED ABUHAMDEH","KENT STATE",20,40.18,"C",71.8,66.4,54.1,72.1,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"JT KOUAME-YAO","JAMES MAD",23,39.4,"D",74,59.4,89,62.6,1,1,0,0,1,0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.5,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0
"TREYLIN PAYNE","TEXAS ST",27,38.92,"D",63.5,69.8,62,58.2,3,1,0,0,1,0,0,0,92.4,1.92,16.7,2,6.7,0,12.5,0,0,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,2,0.667,25,1,0,0,0,0,0,0.333,0,8.3,0,0,0,3,0,0
"TJ WILLIAMS","LA MONROE",21,38.89,"D",68.9,69,58.1,61.6,1,0,1,1,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,2
"JAVANTE MACKEY","TEXAS ST",22,38.8,"D",67.1,68,54.9,64,2,1,0,0,1,0,0,0,39.6,0,0,0,5,0,0,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PARKER SHATTUCK","S ALABAMA",46,38.71,"D",64.4,59,53.2,70.1,5,3,2,0,2,0,1,1,95.8,0.82,0,0,2.5,1,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.167,1,1,0,0,0,3,4,1,2,2,1,14,1,0,0,0,0,0,0.5,0,7,0,0.25,0,6,0,3
"CADE LAW","E CAROLINA",16,38.42,"D",70.3,72.7,58.3,61.8,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"DAMON OLLISON II","TOLEDO",19,38.41,"D",57.8,75.4,59.7,48.6,5,1,2,1,0,0,3,0,105.6,2.33,0,0,2,1,9.3,0,0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,2,0,1,0,0,1,2,2,0,3,1,28,2,0,0,0,0.083,0,0.667,0,9.3,0,0,0,5,0,2
"BEAU BARTON","RICE",21,38.41,"D",75.9,67.2,NA,73.4,3,1,0,0,1,0,0,0,83.3,0.44,NA,0,4,0,4,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,4,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2
"BRANDON TYSON","GA SOUTHRN",63,38.28,"D",55.4,56.9,54.7,56.8,6,0,5,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.333,4,1,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.5,9,0,4
"JAYLEN WESTER","W KENTUCKY",52,38.15,"D",61.8,57,46.4,69,8,4,4,0,3,3,2.33,2,125.8,1.95,25,1,-0.6,1,13.7,0,0,0,0,2,0,1,1,NA,0,0,0,0,1,0,0.385,3,1,0,1,1,4,9,4,2,3,0.6,41,2,0,0,0,0.048,0,0.4,0,8.2,0,0.25,0.6,13,0,6
"AUSTIN HARNETIAUX","RICE",40,37.82,"D",62.4,72.8,56.6,54.7,2,2,0,0,2,0,0,0,56.3,0.25,0,0,3.5,0,5,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0.5,5,0,0,0,2,0,1,0,0,2.5,0,0,0,2,0,0
"DAUNTE CURTIS","AKRON",17,37.67,"D",77.2,77.2,66.9,64.3,2,0,1,0,0,0,2,0,95.8,1.75,0,0,4,0,7,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,1,14,0,0,0,0,0,0,0,0,7,0,0,0,2,0,1
"TERRENCE COOKS II","TEXAS ST",56,37.65,"D",72.3,79.9,52,70.1,4,0,2,0,0,0,1,0,102.1,0.59,0,0,0,0,8.5,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,2,1,17,0,0,0,0,0,0,0,0,8.5,0,0,0,4,0,4
